subject,retailer,event,season,discount_pc,discount_money,up_to,sale,free_delivery,name,emoji
Easy does it,charles tyrwhitt,,,,,,,,,
15% off NEW season casual favourites,charles tyrwhitt,,,15%,,,,,,
Let's talk Custom shirts,charles tyrwhitt,,,,,,,,,
3 shirts or polos for £99 ends Sunday!,charles tyrwhitt,,,,£99,,,,,
This weekend only: 3 shirts or polos for £99,charles tyrwhitt,,,,£99,,,,,
Ends tonight! 3 shirts or polos for £99,charles tyrwhitt,,,,£99,,,,,
The Official England Rugby Collection,charles tyrwhitt,,,,,,,,,
Layer by Layer,charles tyrwhitt,,,,,,,,,
Heading for a Wedding,charles tyrwhitt,,,,,,,,,
A Sunday Well Spent! 20% off until 4pm,charles tyrwhitt,,,20%,,,,,,
20% off new season ends in 4 hours,charles tyrwhitt,,,20%,,,,,,
A shirt that's all yours,charles tyrwhitt,,,,,,,,,
Cold Weather Heroes,charles tyrwhitt,,,,,,,,,
We're already feeling the love at Tyrwhitt,charles tyrwhitt,,,,,,,,,
Last chance! 15% off new season ends tonight,charles tyrwhitt,,,15%,,,,,,
All You Need Is Love...and 20% off knitwear!,charles tyrwhitt,,,20%,,,,,,
New collection + free delivery = happy wardrobe,charles tyrwhitt,,,,,,,free delivery,,
Our Ultimate Chinos are better than ever,charles tyrwhitt,,,,,,,,,
Layer up in Tyrwhitt Outerwear,charles tyrwhitt,,,,,,,,,
"Watch the Game, Wear the Rose 🌹",charles tyrwhitt,,,,,,,,,emoji
Bag 2 of our bestselling shirts for £65 - this weekend only!,charles tyrwhitt,,,,£65,,,,,
Ends tonight! 2 shirts or polos for £65,charles tyrwhitt,,,,£65,,,,,
Crème de la Cotton,charles tyrwhitt,,,,,,,,,
Let's get casual: 4 shirts or polos for £139,charles tyrwhitt,,,,£139,,,,,
The New & Improved Twill Suit,charles tyrwhitt,,,,,,,,,
An Oxford Education,charles tyrwhitt,,,,,,,,,
Back in the Groove,charles tyrwhitt,,,,,,,,,
Rugby Shirts with a Twist,charles tyrwhitt,,,,,,,,,
Linen is Back!,charles tyrwhitt,,,,,,,,,
Not Your Average Shirts,charles tyrwhitt,,,,,,,,,
It's your lucky day! 17% off until midnight,charles tyrwhitt,,,17%,,,,,,
Spring in Our Step!,charles tyrwhitt,,Spring,,,,,,,
The Holiday Edit,charles tyrwhitt,,,,,,,,,
Kind of a big deal: 20% off all suits for this weekend only!,charles tyrwhitt,,,20%,,,,,,
"All style, all substance",charles tyrwhitt,,,,,,,,,
Feet First,charles tyrwhitt,,,,,,,,,
Your new favourites for in between weather,charles tyrwhitt,,,,,,,,,
"Our bestsellers, your favourites",charles tyrwhitt,,,,,,,,,
A Crisp White Shirt,charles tyrwhitt,,,,,,,,,
5 Spring-ready Essentials,charles tyrwhitt,,Spring,,,,,,,
Up to 60% off SALE now on! Shirts from £24.95,charles tyrwhitt,,,60%,£2495,up to,sale,,,
Shirts from £24.95 – find your size,charles tyrwhitt,,,,£2495,,,,,
Mid-season SALE: knitwear from £24.95,charles tyrwhitt,,,,£2495,,sale,,,
"Shirts from £24.95, plus an extra 10% off SALE",charles tyrwhitt,,,10%,"£2495,",,sale,,,
An extra 10% off our SALE bestsellers,charles tyrwhitt,,,10%,,,sale,,,
SALE ends tomorrow! Extra 10% off shirts from £24.95,charles tyrwhitt,,,10%,£2495,,sale,,,
It’s the final countdown! SALE ends tonight,charles tyrwhitt,,,,,,sale,,,
We're Picking up Good Vibrations,charles tyrwhitt,,,,,,,,,
For the Love of Linen,charles tyrwhitt,,,,,,,,,
We noticed that you like this…,charles tyrwhitt,,,,,,,,,
Let's Talk Poplin,charles tyrwhitt,,,,,,,,,
How to Recycle with Tyrwhitt,charles tyrwhitt,,,,,,,,,
Our Linen Shirt Family,charles tyrwhitt,,,,,,,,,
All About Trousers,charles tyrwhitt,,,,,,,,,
Casual shirts and polos for £32.50! This bank holiday only,charles tyrwhitt,Bank Holiday,,,£3250,,,,,
Ends tomorrow! Casual shirts & polos for £32.50,charles tyrwhitt,,,,£3250,,,,,
Casual heroes for £32.50 ends tonight!,charles tyrwhitt,,,,£3250,,,,,
Summer-ready? These must-have styles are,charles tyrwhitt,,Summer,,,,,,,
Refined Linen for Refined Events,charles tyrwhitt,,,,,,,,,
Essential Linen shirts,charles tyrwhitt,,,,,,,,,
Liberty Fabrics is BACK,charles tyrwhitt,,,,,,,,,
New Polos Are In!,charles tyrwhitt,,,,,,,,,
Dreaming Of The 19th Hole,charles tyrwhitt,,,,,,,,,
New has Landed!,charles tyrwhitt,,,,,,,,,
Your perfectly fitted shirt is here,charles tyrwhitt,,,,,,,,,
Doing Things Properly,charles tyrwhitt,,,,,,,,,
Get Smart,charles tyrwhitt,,,,,,,,,
Packed full of holiday essentials,charles tyrwhitt,,,,,,,,,
Our Founder's Favourites,charles tyrwhitt,,,,,,,,,
True Colours,charles tyrwhitt,,,,,,,,,
International Cricketer Jos Buttler,charles tyrwhitt,,,,,,,,,
This Jubilee We're Planting Trees!,charles tyrwhitt,,,,,,,,,
Plant A Tree This Jubilee!,charles tyrwhitt,,,,,,,,,
Help us plant trees this Jubilee,charles tyrwhitt,,,,,,,,,
We'd like to send you a birthday treat,charles tyrwhitt,Birthday,,,,,,,,
20% off a gift for every dad,charles tyrwhitt,,,20%,,,,,,
Guess who's Back,charles tyrwhitt,,,,,,,,,
20% off your Favourite Shirts,charles tyrwhitt,,,20%,,,,,,
Your 20% off ends tonight!,charles tyrwhitt,,,20%,,,,,,
Final 6 hours to use your 20% off!,charles tyrwhitt,,,20%,,,,,,
Tyrwhitt Says Relax,charles tyrwhitt,,,,,,,,,
Let The Games Begin,charles tyrwhitt,,,,,,,,,
Your Holiday Wardrobe Sorted,charles tyrwhitt,,,,,,,,,
Easy Breezy Smart Shirts,charles tyrwhitt,,,,,,,,,
Not Your Average Polos,charles tyrwhitt,,,,,,,,,
In With The New,charles tyrwhitt,,,,,,,,,
Colourful summer pending,charles tyrwhitt,,Summer,,,,,,,
Our exclusive shirts are leaving the building!,charles tyrwhitt,,,,,,,,,
Let's get personal,charles tyrwhitt,,,,,,,,,
The Reviews are in!,charles tyrwhitt,,,,,,,,,
Prepped for tee off,charles tyrwhitt,,,,,,,,,
Cult Pens : Order CP00388343 - Follow-up,cult pens,,,,,,,,,
Cult Pens Penorama: Don't forget about your coupon code!,cult pens,,,,,,,,,
Cult Pens Penorama: Winter Sale!,cult pens,,Winter,,,,sale,,,
"Cult Pens Penorama: Winter sale! Diaries for 2020, and looking back on 2019.",cult pens,,Winter,,,,sale,,,
Cult Pens - 10% Off Pelikan!,cult pens,,,10%,,,,,,
Cult Pens - 10% off Fine Writing - ends Friday,cult pens,,,10%,,,,,,
Cult Pens - Lamy just in!,cult pens,,,,,,,,,
Cult Pens Penorama: Super Moons and Easter Bunnies!,cult pens,Easter,,,,,,,,
Cult Pens Colourama! A very colourful issue.,cult pens,,,,,,,,,
Cult Pens Penorama - Happy Birthday to us!,cult pens,Birthday,,,,,,,,
Cult Pens Penorama: Father's Day will be here before you know it...,cult pens,Father's Day,,,,,,,,
Cult Pens Penorama: out Round the World Sale continues!,cult pens,,,,,,sale,,,
Black Friday offers are still on!,cult pens,Black Friday,,,,,,,,
A Christmas Gift for you from Cult Pens! 🎁,cult pens,Christmas,,,,,,,,emoji
Cult Pens Penorama: Free Special Delivery!,cult pens,,,,,,,,,
Lots of lovely new art products!,cult pens,,,,,,,,,
We have TRAVELER'S COMPANY!,cult pens,,,,,,,,,
Yet more great arty brands!,cult pens,,,,,,,,,
We forgot something!,cult pens,,,,,,,,,
We miss you!,cult pens,,,,,,,,,
Winter Sale ends Wednesday!,cult pens,,Winter,,,,sale,,,
Love is all you need...,cult pens,,,,,,,,,
Get 10% off with our subscribers' code!,cult pens,,,10%,,,,,,
May the 4th be with you,cult pens,,,,,,,,,
Happy Birthday to us!,cult pens,Birthday,,,,,,,,
More birthday exclusives,cult pens,Birthday,,,,,,,,
Father's Day Offers,cult pens,Father's Day,,,,,,,,
Want some 5 star advice?,cult pens,,,,,,,,,
Let's celebrate colour!,cult pens,,,,,,,,,
Delightful Daler-Rowney!,cult pens,,,,,,,,,
Extraordinary edding!,cult pens,,,,,,,,,
Scorching Summer Sale ends soon!,cult pens,,Summer,,,,sale,,,
100 Days to Go!,cult pens,,,,,,,,,
10% off with £40 spend ends at midnight!,cult pens,,,10%,£40,,,,,
Paper offers end soon,cult pens,,,,,,,,,
Fantastink inky offers,cult pens,,,,,,,,,
Black Friday sneaky peek!,cult pens,Black Friday,,,,,,,,
10% off ends soon!,cult pens,,,10%,,,,,,
Deck the halls...,cult pens,,,,,,,,,
Last orders please!,cult pens,,,,,,,,,
10% off back to school and work with Staedtler,cult pens,Back to school,,10%,,,,,,
Winter Sale ends soon!,cult pens,,Winter,,,,sale,,,
It's the individual Diamine Ink-vent inks!,cult pens,,,,,,,,,
Happy birthday to us...,cult pens,Birthday,,,,,,,,
It's our birthday!,cult pens,Birthday,,,,,,,,
It's still our birthday!,cult pens,Birthday,,,,,,,,
Birthday offers end soon!,cult pens,Birthday,,,,,,,,
Father's Day is fast approaching,cult pens,Father's Day,,,,,,,,
"We've gone Platinum, and there's 10% off!",cult pens,,,10%,,,,,,
Summer Colour Festival!,cult pens,,Summer,,,,,,,
It's our awesomely alphabetical Summer Sale!,cult pens,,Summer,,,,sale,,,
10% off fabulous Faber-Castell!,cult pens,,,10%,,,,,,
10% off mechanical pencils for Mechanical Pencil Day!,cult pens,,,10%,,,,,,
Brothers Grimm and a new Cult Pens exclusive!,cult pens,,,,,,,,,
About Derek Rose,derek rose,,,,,,,,,
Get To Know Us Better,derek rose,,,,,,,,,
Warm Weather Gowns,derek rose,,,,,,,,,
The Rarest Cotton In The World - Sea Island Cotton,derek rose,,,,,,,,,
'Out Of The House' Edit,derek rose,,,,,,,,,
The New Pyjamas You've Been Dreaming Of 💭,derek rose,,,,,,,,,emoji
The Benefits of Being Outdoors,derek rose,,,,,,,,,
New In - Cotton Underwear,derek rose,,,,,,,,,
"[CUSTOMER_NAME], Keep Cool When Lounging",derek rose,,,,,,,,[CUSTOMER_NAME],
The Tops You Can't Live Without ,derek rose,,,,,,,,,
"Cool, Comfortable Sleepwear",derek rose,,,,,,,,,
Mix-And-Match Leisurewear,derek rose,,,,,,,,,
PJs for the Perfect Night's Sleep,derek rose,,,,,,,,,
The Linen Collection,derek rose,,,,,,,,,
Fresh New Silks,derek rose,,,,,,,,,
Supremely Soft Silk Underwear,derek rose,,,,,,,,,
Micro Modal: our fabric of choice,derek rose,,,,,,,,,
Dive In With New Swimwear,derek rose,,,,,,,,,
Your warm weather wardrobe awaits...,derek rose,,,,,,,,,
Matching Pyjama Sets,derek rose,,,,,,,,,
Father's Day Gift Edit 🎁,derek rose,Father's Day,,,,,,,,emoji
"Cool, Comfy Sleepwear for Balmy Nights",derek rose,,,,,,,,,
Sale Now On,derek rose,,,,,,sale,,,
T-Shirt Season,derek rose,,,,,,,,,
The Sale has started...,derek rose,,,,,,sale,,,
Lightweight Sleepwear Staples,derek rose,,,,,,,,,
Sale - 30% Off,derek rose,,,30%,,,sale,,,
Sale - Now Up To 50% Off,derek rose,,,50%,,up to,sale,,,
Sale Continues - Up To 50% Off,derek rose,,,50%,,up to,sale,,,
Your Summer Wardrobe Pending...,derek rose,,Summer,,,,,,,
Sale - More Lines Now 50% Off,derek rose,,,50%,,,sale,,,
Sale - Further Reductions,derek rose,,,,,,sale,,,
Up to 50% off Sale,derek rose,,,50%,,up to,sale,,,
Our Best-selling Boxer Briefs ,derek rose,,,,,,,,,
New Season Shorties,derek rose,,,,,,,,,
New Jersey Sleepwear Styles,derek rose,,,,,,,,,
Sale - Now Up To 70% Off,derek rose,,,70%,,up to,sale,,,
Sale Final Week - Up to 70% off,derek rose,,,70%,,up to,sale,,,
Sale Up To 70% Off - Ends Sunday,derek rose,,,70%,,up to,sale,,,
Time For An Underwear Upgrade?,derek rose,,,,,,,,,
Sale Ends Tomorrow ⏰,derek rose,,,,,,sale,,,emoji
Super-Soft Jersey Sleepwear,derek rose,,,,,,,,,
Update Your Workout Wardrobe 🏋️,derek rose,,,,,,,,,emoji
New Pyjamas To Live In,derek rose,,,,,,,,,
Loungewear You'll Love,derek rose,,,,,,,,,
Rest Easy In Our New Arrivals,derek rose,,,,,,,,,
"[CUSTOMER_NAME], we miss you, delivery is on us!",derek rose,,,,,,,,[CUSTOMER_NAME],
Cosy Cotton PJs,derek rose,,,,,,,,,
The World's Rarest Cotton,derek rose,,,,,,,,,
New Lightweight Gowns,derek rose,,,,,,,,,
New Season Cotton Underwear,derek rose,,,,,,,,,
Introducing Our New Cotton PJ's,derek rose,,,,,,,,,
Cosy New Season Cotton Gowns,derek rose,,,,,,,,,
New Cashmere Colours,derek rose,,,,,,,,,
Now Trending: Super-Soft Sweats,derek rose,,,,,,,,,
New Arrivals - Invest In Rest ,derek rose,,,,,,,,,
5 reasons to shop with us + 1 more (10% off),derek rose,,,(10%,,,,,,
"[CUSTOMER_NAME], Sleep Well In Our Jersey PJ's",derek rose,,,,,,,,[CUSTOMER_NAME],
Jersey Underwear Refresh Pending...,derek rose,,,,,,,,,
New Season Men's Sweats,derek rose,,,,,,,,,
Cosy Matching PJ's 💤,derek rose,,,,,,,,,emoji
Cold Weather Gowns,derek rose,,,,,,,,,
Loungewear Worth Staying in For,derek rose,,,,,,,,,
Luxurious Handmade Silks,derek rose,,,,,,,,,
"[CUSTOMER_NAME], 15% off your next order",derek rose,,,15%,,,,,[CUSTOMER_NAME],
Gifts They'll Love ❤️,derek rose,,,,,,,,,emoji
Cosy Cotton Gowns,derek rose,,,,,,,,,
New Knitwear Favourites,derek rose,,,,,,,,,
Cosy Cotton PJ Season,derek rose,,,,,,,,,
15% Off Everything For Black Friday - Today Only ⏱,derek rose,Black Friday,,15%,,,,,,emoji
15% Off All Items - Today Only,derek rose,,,15%,,,,,,
Final Hours - 15% Off Ends Tonight,derek rose,,,15%,,,,,,
Give the Gift of Luxury,derek rose,,,,,,,,,
Our Comforting Bathrobe Collection,derek rose,,,,,,,,,
Introducing 'Relax' With Derek Rose Home,derek rose,,,,,,,,,
Our Free Time Collection,derek rose,,,,,,,,,
Stocking Fillers 🎁,derek rose,,,,,,,,,emoji
Rest & Relaxation Sets,derek rose,,,,,,,,,
Our Mood Lifting Jersey Pyjamas,derek rose,,,,,,,,,
A message from Sacha Rose,derek rose,,,,,,,,,
Seen On You 📸,derek rose,,,,,,,,,emoji
Feel-Good Favourites 💙,derek rose,,,,,,,,,emoji
Sleep Well Sleepwear,derek rose,,,,,,,,,
Winter Ready Gowns,derek rose,,Winter,,,,,,,
"New Year, New Arrivals",derek rose,,,,,,,,,
New Men's Quinn Sweats,derek rose,,,,,,,,,
Cashmere Sets to Make You Feel Good,derek rose,,,,,,,,,
Make Your Workout Work For You,derek rose,,,,,,,,,
Jersey Underwear Refresh,derek rose,,,,,,,,,
Our Classic Cotton PJ's,derek rose,,,,,,,,,
Our Latest Arrivals,derek rose,,,,,,,,,
Relax In Loungewear,derek rose,,,,,,,,,
Sleep Soundly in Our Jersey Pyjamas,derek rose,,,,,,,,,
Wrap Up In Cashmere,derek rose,,,,,,,,,
Most-Loved Pieces ❤️,derek rose,,,,,,,,,emoji
Ready For Sun Or Ski Slopes?,derek rose,,,,,,,,,
Valentines Gift Guide💘,derek rose,,,,,,,,,emoji
The Importance of Rest,derek rose,,,,,,,,,
February's Latest Arrivals,derek rose,,,,,,,,,
Your New Loungewear Looks,derek rose,,,,,,,,,
Sea Island - The Rarest Cotton in the World,derek rose,,,,,,,,,
Perfect Pyjamas For Those You Love,derek rose,,,,,,,,,
Go Anywhere Activewear,derek rose,,,,,,,,,
Just Landed: Find Your New Favourites,derek rose,,,,,,,,,
Love to Lounge? ❤️,derek rose,,,,,,,,,emoji
"New Season, New Underwear",derek rose,,,,,,,,,
Improve Your Sleep With Silk,derek rose,,,,,,,,,
20% off exclusively for you 💛,derek rose,,,20%,,,,,,emoji
Ramsay - New Style Alert,derek rose,,,,,,,,,
New Men's Quinn Colours,derek rose,,,,,,,,,
Happy World Sleep Day 💤,derek rose,,,,,,,,,emoji
New In For Spring,derek rose,,Spring,,,,,,,
Cotton PJ's For Spring,derek rose,,Spring,,,,,,,
Comfort In Cotton,derek rose,,,,,,,,,
New In Holiday Edit,derek rose,,,,,,,,,
Outdoor Activewear 🏃,derek rose,,,,,,,,,emoji
New Basel Colours,derek rose,,,,,,,,,
New Arrivals,derek rose,,,,,,,,,
Mix & Match Loungewear,derek rose,,,,,,,,,
Holiday Heroes,derek rose,,,,,,,,,
"[CUSTOMER_NAME], 20% off your next order",derek rose,,,20%,,,,,[CUSTOMER_NAME],
Spring Siesta in Silk,derek rose,,Spring,,,,,,,
Spring Wardrobe Essentials,derek rose,,Spring,,,,,,,
New Arrivals You'll Love ,derek rose,,,,,,,,,
Luxuriously Soft Silk Underwear,derek rose,,,,,,,,,
The Summer Sleepwear Edit,derek rose,,Summer,,,,,,,
Just Landed,derek rose,,,,,,,,,
Swim Style,derek rose,,,,,,,,,
T-Shirt Season Has Arrived ☀️,derek rose,,,,,,,,,emoji
Jubilee Jubilations,derek rose,,,,,,,,,
Get active this summer with our new activewear styles,derek rose,,Summer,,,,,,,
Shop Our Father's Day Gift Guide ,derek rose,Father's Day,,,,,,,,
Our Summer Sale Starts Now ,derek rose,,Summer,,,,sale,,,
Sale Now On - 30% Off ,derek rose,,,30%,,,sale,,,
Here Comes the Sun... 🔆 + Sale Now On!,derek rose,,,,,,sale,,,emoji
Summer Snoozing 💤 + Sale Now On!,derek rose,,Summer,,,,sale,,,emoji
Sale - Shop Our Best Selling Pieces Now,derek rose,,,,,,sale,,,
Sale Top Picks!,derek rose,,,,,,sale,,,
Sale Now Up To 50% Off!,derek rose,,,50%,,up to,sale,,,
Latest Drops 🪂,derek rose,,,,,,,,,emoji
New Lines Added - Up to 50% off ,derek rose,,,50%,,up to,,,,
Summer Evening Styles To Wear Now I Sale Continues,derek rose,,Summer,,,,sale,,,
All Sale Now Half Price,derek rose,,,,,,sale,,,
Summer Sale Continues I 50% off all sale items ,derek rose,,Summer,50%,,,sale,,,
Wimbledon Ready? 🎾,derek rose,,,,,,,,,emoji
Our Summer Sale Just Got Better I Up to 60% off selected sale items ,derek rose,,Summer,60%,,up to,sale,,,
Make a Statement With Your Sleepwear,derek rose,,,,,,,,,
Our Summer Sale Just Keeps Getting Better I Up to 60% off ,derek rose,,Summer,60%,,up to,sale,,,
Summer Sale Final Week - Up to 60% off,derek rose,,Summer,60%,,up to,sale,,,
Cool Casual Wear For Summer Days I Sale Up To 60% Off,derek rose,,Summer,60%,,up to,sale,,,
Sale Ends Soon!,derek rose,,,,,,sale,,,
"Extra 10% off Sale just for you, [CUSTOMER_NAME]",derek rose,,,10%,,,sale,,[CUSTOMER_NAME],
Summer Sale Ends Tomorrow I Up To 60% off ,derek rose,,Summer,60%,,up to,sale,,,
Final Day to Shop Sale!,derek rose,,,,,,sale,,,
How do we measure up?,dunelm,,,,,,,,,
We love choice like a duck loves water,dunelm,,,,,,,,,
Here comes the sun 🌞,dunelm,,,,,,,,,emoji
New Menu : Fresh kitchen & dining + up to 30% off,dunelm,,,30%,,up to,,,,
Everything your home needs (and lots of things you'll love),dunelm,,,,,,,,,
Up to 50% off new offers + last 24hrs for some!,dunelm,,,50%,,up to,,,,
Up to 50% off: The latest offers,dunelm,,,50%,,up to,,,,
"Come on, back to bed",dunelm,,,,,,,,,
"Fiver Friday is back, baby!",dunelm,,,,,,,,,
Today is the day! We're open again,dunelm,,,,,,,,,
Be quick! Limited time Special Buys + Back in Stock,dunelm,,,,,,,,,
Click to tidy! We’ve got storage sorted ✔,dunelm,,,,,,,,,emoji
Leave a review and you could win a £250 gift card,dunelm,,,,£250,,,,,
The looks you’re loving + don’t miss The Big Sofa Giveaway!,dunelm,,,,,,,,,
Everything but the bathroom sink,dunelm,,,,,,,,,
Get your garden bank holiday-ready with 3 hour Click & Collect,dunelm,Bank Holiday,,,,,,,,
Online only: bedding you’ll love day and night,dunelm,,,,,,,,,
Go go go! Your faves are back in stock + offers ending midnight Wednesday,dunelm,,,,,,,,,
Living room looks to lounge in,dunelm,,,,,,,,,
You’ll love our accent pieces from £10,dunelm,,,,£10,,,,,
The Special (Buys) email you've been waiting for,dunelm,,,,,,,,,
Your favourite furniture collections are here,dunelm,,,,,,,,,
Your staycation is boarding ✈️,dunelm,,,,,,,,,emoji
Bed linen that goes with everything (especially sleep),dunelm,,,,,,,,,
Something NEW is happening for Made To Measure!,dunelm,,,,,,,,,
Look out! Our 5 ⭐ designs are making an entrance,dunelm,,,,,,,,,emoji
Ch-ch-ch-changes: Are you ready for Monday?,dunelm,,,,,,,,,
Hot trends are on the forecast 🌞,dunelm,,,,,,,,,emoji
﻿Fiver Friday is back!...and it’s gone green! 💚  ﻿,dunelm,,,,,,,,,emoji
Your invite to the summer party of the year is here ✉️,dunelm,,Summer,,,,,,,emoji
Trending looks for your windows + 75% off in-store,dunelm,,,75%,,,,,,
Fresh stock drop! Nab a limited piece now,dunelm,,,,,,,,,
Finally some T-shirt weather!,dunelm,,,,,,,,,
VIP List: You have 24 hours of exclusive access,dunelm,,,,,,,,,
Floor your approval: New & 5* Rugs,dunelm,,,,,,,,,
The 4 hottest shades right now,dunelm,,,,,,,,,
We’re restocked and ready to roll!,dunelm,,,,,,,,,
﻿Fiver Friday is early! The hottest deals for the hottest weather,dunelm,,,,,,,,,
Online exclusives are just a click away,dunelm,,,,,,,,,
"Feeling hot hot hot! Your sunshine essentials, ready in 3 hours with Click & Collect",dunelm,,,,,,,,,
Lights out! Sun and heat-blocking curtains are in,dunelm,,,,,,,,,
Bargain alert! Limited time Special Buys + Back in Stock,dunelm,,,,,,,,,
Stylish steals from just £6,dunelm,,,,£6,,,,,
NEW! Our latest looks are ready for the taking,dunelm,,,,,,,,,
Hurry! Up to 50% off in-store and online,dunelm,,,50%,,up to,,,,
Up to 50% off Bedding: don’t hit snooze!,dunelm,,,50%,,up to,,,,
SALE-abrate with 20% off selected Furniture,dunelm,,,20%,,,sale,,,
﻿Up to 50% ﻿off Curtains & Blinds + Clearance bargains 😮,dunelm,,,50%,,up to,,,,emoji
Summer Sale top picks that are too good to miss!,dunelm,,Summer,,,,sale,,,
This week's Special Buys & our BIG Summer Sale Continues,dunelm,,Summer,,,,sale,,,
Watch out! New offers are landing🔥 + get heatwave ready 🌞,dunelm,,,,,,,,,emoji
Up to 50% off cool nights and fresh days﻿ ﻿🛁,dunelm,,,50%,,up to,,,,emoji
Fiver Friday: ⚡ Super saver sale edition,dunelm,,,,,,sale,,,emoji
Open for a discount code on your next order! 💰,dunelm,,,,,,,,,emoji
⚠️ Ending soon! Don’t miss out on up to 50% off ⚠️,dunelm,,,50%,,up to,,,,emoji
EXTRA 10% off code inside… 😮,dunelm,,,10%,,,,,,emoji
⏰ Hurry! Up to 50% off ends tomorrow,dunelm,,,50%,,up to,,,,emoji
📞Last call! Sale ends midnight tonight,dunelm,,,,,,sale,,,emoji
We miss you - here's a voucher for your next order,dunelm,,,,,,,,,
Did you forget something?,dunelm,,,,,,,,,
✨ Climb into bed with something NEW,dunelm,,,,,,,,,emoji
New curtains & blinds: shop by colour 🎨,dunelm,,,,,,,,,emoji
😮 Fiver Friday is here and we’re off to Uni + 10% OFF for students,dunelm,,,10%,,,,,,emoji
"Back in stock, dropping like it's hot 🥵",dunelm,,,,,,,,,emoji
"🌱 New and natural, recycled and revamped",dunelm,,,,,,,,,emoji
😮 Don’t miss out on up to 50% off selected items + New in for kids,dunelm,,,50%,,up to,,,,emoji
🤩 New Special Buys + back-in-stock favourites,dunelm,,,,,,,,,emoji
Bank holiday bonus! 🥵 Up to 50% off selected lines,dunelm,Bank Holiday,,50%,,up to,,,,emoji
🍂 Get your cosy look ready for autumn with New Made To Measure,dunelm,,Autumn,,,,,,,emoji
🛏️ Bedding trend alert! Check out our latest popular pieces,dunelm,,,,,,,,,emoji
⏰HURRY! Up to 50% off ends soon!⏰,dunelm,,,50%,,up to,,,,emoji
"NEW sustainable sofas, made in the UK ♻️",dunelm,,,,,,,,,emoji
We’ve got every room and budget covered + 10% off for students,dunelm,,,10%,,,,,,
Oops sorry... Our competition is now working,dunelm,,,,,,,,,
New Teddy Bear! What’s your shade of snuggly?,dunelm,,,,,,,,,
Sleeptember: try something different in bed,dunelm,,,,,,,,,
Fastest fingers first to nab these 👇,dunelm,,,,,,,,,emoji
Turn over a new autumnal leaf🍂,dunelm,,Autumn,,,,,,,emoji
Making it easier to be green♻️,dunelm,,,,,,,,,emoji
£5 and up: Fiver Friday has come early!,dunelm,,,,£5,,,,,
Back in stock… for now,dunelm,,,,,,,,,
New beds and bedding for a festive guest room 🎅,dunelm,,,,,,,,,emoji
Click & Collect all the way to Christmas Eve,dunelm,Christmas,,,,,,,,
🛋️ 20% off furniture for every room,dunelm,,,20%,,,,,,emoji
Bags of bargains by the pound 💰,dunelm,,,,,,,,,emoji
20% off sofas & chairs: get in and stretch out,dunelm,,,20%,,,,,,
Bedding clearance: up to 50% off,dunelm,,,50%,,up to,,,,
Unwind with up to 30% off your bedroom and bathroom,dunelm,,,30%,,up to,,,,
Sale window shopping > all other shopping,dunelm,,,,,,sale,,,
"Your look, for less﻿",dunelm,,,,,,,,,
Best foot forward. New rugs this way,dunelm,,,,,,,,,
Big for spring: your three best-loved colours,dunelm,,Spring,,,,,,,
It’s you time! 5 ways to make your home more mindful,dunelm,,,,,,,,,
"New: curtains up, with a side of cheeky blinders",dunelm,,,,,,,,,
It won’t cost the earth 🌎 💚,dunelm,,,,,,,,,emoji
"Prints Charming, and other bedtime stories",dunelm,,,,,,,,,
NEW kids on the block,dunelm,,,,,,,,,
Up to 50% off; savings are springing up everywhere,dunelm,,Spring,50%,,up to,,,,
😮 Special buys from £15 + furniture restocks,dunelm,,,,£15,,,,,emoji
"Sophisticated, luxe and affordable? Step this way",dunelm,,,,,,,,,
Fiver Friday: what will you find this time? ﻿,dunelm,,,,,,,,,
New lighting from £20,dunelm,,,,£20,,,,,
Everything you need from A to Zzz,dunelm,,,,,,,,,
"Psst, a giant collaboration is landing soon…🦖",dunelm,,,,,,,,,emoji
"﻿Up to 50% off, but be quick!",dunelm,,,50%,,up to,,,,
"﻿Up to 50% off, more lines added",dunelm,,,50%,,up to,,,,
New: accessorise all areas,dunelm,,,,,,,,,
£99 or less (including furniture clearance!) 😮,dunelm,,,,£99,,,,,emoji
Bedding updates from £8,dunelm,,,,£8,,,,,
Say thank you this Mother's Day 💖,dunelm,Mother's Day,,,,,,,,emoji
🐰 🥕 Easter made easy ﻿,dunelm,Easter,,,,,,,,emoji
Up to 50% off selected furniture right now! 🏠,dunelm,,,50%,,up to,,,,emoji
Everything in here is under £20! 💸,dunelm,,,,£20,,,,,emoji
Was it something we said?,dunelm,,,,,,,,,
Easter gifts starting from £5,dunelm,Easter,,,£5,,,,,
﻿Sunny days will be here again!,dunelm,,,,,,,,,
Seize the DIY 🖌️ for under £30,dunelm,,,,£30,,,,,emoji
Cracking Easter offers: up to HALF PRICE!,dunelm,Easter,,,,up to,,,,
Up to 50% off: don't miss these cracking Easter savings,dunelm,Easter,,50%,,up to,,,,
Set the table for Spring,dunelm,,Spring,,,,,,,
⚠️ Up to 30% off in our Easter furniture deals,dunelm,Easter,,30%,,up to,,,,emoji
"Sun’s out, fun’s out! ☀️ 🕶️",dunelm,,,,,,,,,emoji
Up to 50% off our Easter top picks,dunelm,Easter,,50%,,up to,,,,
"Little changes, big impact",dunelm,,,,,,,,,
Let's go alfresco: brilliant BBQs 🍴﻿﻿☀️,dunelm,,,,,,,,,emoji
